libres,0.2
disfruto,0.75
ligero,0.75
libres,0.09999999999999998
probar,0.09999999999999998
casera,0.09999999999999998
algo,0.5
ligero,0.5
algo,0.15000000000000002
como,0.30000000000000004
casera,0.19999999999999996
hace,0.19999999999999996
verduras,0.09999999999999998
degustar,0.25
tipos,0.25
helado,0.25
saludable,0.30000000000000004
verduras,0.30000000000000004
verduras,0.050000000000000044
casera,0.19999999999999996
preparada,0.19999999999999996
disfrutar de,0.19999999999999996
probando,0.15000000000000002
algo,0.15000000000000002
